name,city,country,title,description,price_per_night,likes_count,reviews_count,facilities
Island Bungalow,Bali,Indonesia,Island Serenity,"A beautiful stay at Island Serenity located in Bali, Indonesia.",883,64,55,"Pet Friendly, Breakfast, Sauna, Air Conditioning, Pool"
City Apartment,New York,USA,Cozy Nest,"A beautiful stay at Cozy Nest located in New York, USA.",320,144,81,"Air Conditioning, Sauna, Breakfast, Parking, Gym"
Mountain Cabin,Aspen,USA,Lakeside Retreat,"A beautiful stay at Lakeside Retreat located in Aspen, USA.",679,208,170,"WiFi, Gym, Pet Friendly, Parking, Breakfast"
Beach House,Miami,USA,Seaside Villa,"A beautiful stay at Seaside Villa located in Miami, USA.",398,105,40,"Air Conditioning, Pet Friendly, Parking, Pool, Gym"
City Apartment,New York,USA,Cozy Nest,"A beautiful stay at Cozy Nest located in New York, USA.",644,259,99,"Air Conditioning, Sauna, Gym, Pool, Parking"
Countryside Cottage,Bath,UK,Countryside Haven,"A beautiful stay at Countryside Haven located in Bath, UK.",354,437,104,"Breakfast, Parking, Pool"
Beach House,Miami,USA,Modern Flat,"A beautiful stay at Modern Flat located in Miami, USA.",587,388,51,"Pool, Pet Friendly"
City Apartment,New York,USA,Skyline Apartment,"A beautiful stay at Skyline Apartment located in New York, USA.",680,164,41,"WiFi, Air Conditioning, Pool"
Mountain Cabin,Aspen,USA,Seaside Villa,"A beautiful stay at Seaside Villa located in Aspen, USA.",335,197,88,"Parking, Pet Friendly, Pool"
Lake Villa,Geneva,Switzerland,Garden View Villa,"A beautiful stay at Garden View Villa located in Geneva, Switzerland.",225,274,146,"Gym, Parking, WiFi, Pet Friendly"
Ski Chalet,Zermatt,Switzerland,Mountain Escape,"A beautiful stay at Mountain Escape located in Zermatt, Switzerland.",926,22,77,"Breakfast, Parking, Gym, Pool, Pet Friendly"
City Apartment,New York,USA,Mountain Escape,"A beautiful stay at Mountain Escape located in New York, USA.",551,468,11,"Pool, Air Conditioning"
River View House,Dhaka,Bangladesh,Seaside Villa,"A beautiful stay at Seaside Villa located in Dhaka, Bangladesh.",366,302,25,"Pet Friendly, Pool"
Lake Villa,Geneva,Switzerland,Forest Hideaway,"A beautiful stay at Forest Hideaway located in Geneva, Switzerland.",305,86,66,"Breakfast, WiFi, Pet Friendly, Sauna"
Island Bungalow,Bali,Indonesia,Forest Hideaway,"A beautiful stay at Forest Hideaway located in Bali, Indonesia.",910,96,4,"Pet Friendly, Breakfast, Parking"
Forest Lodge,Vancouver,Canada,Ski Wonderland,"A beautiful stay at Ski Wonderland located in Vancouver, Canada.",478,420,72,"Air Conditioning, Parking, Pet Friendly"
Lake Villa,Geneva,Switzerland,Lakeside Retreat,"A beautiful stay at Lakeside Retreat located in Geneva, Switzerland.",119,431,146,"Pet Friendly, Pool"
Tea Garden Cottage,Sylhet,Bangladesh,Sunset Paradise,"A beautiful stay at Sunset Paradise located in Sylhet, Bangladesh.",864,379,129,"Air Conditioning, Gym"
Countryside Cottage,Bath,UK,Island Serenity,"A beautiful stay at Island Serenity located in Bath, UK.",552,493,110,"WiFi, Parking, Sauna, Pet Friendly"
Lake Villa,Geneva,Switzerland,Historic Charm,"A beautiful stay at Historic Charm located in Geneva, Switzerland.",410,483,149,"Gym, Breakfast, Air Conditioning, Pet Friendly"
Lake Villa,Geneva,Switzerland,Seaside Villa,"A beautiful stay at Seaside Villa located in Geneva, Switzerland.",290,47,111,"Pool, Air Conditioning, Pet Friendly"
Island Bungalow,Bali,Indonesia,Desert Oasis,"A beautiful stay at Desert Oasis located in Bali, Indonesia.",225,352,59,"Air Conditioning, Gym, Pet Friendly, Sauna, Parking"
Beach House,Miami,USA,Skyline Apartment,"A beautiful stay at Skyline Apartment located in Miami, USA.",292,27,105,"Pool, Parking"
Ski Chalet,Zermatt,Switzerland,Historic Charm,"A beautiful stay at Historic Charm located in Zermatt, Switzerland.",914,198,193,"WiFi, Parking, Pool, Sauna, Breakfast"
Forest Lodge,Vancouver,Canada,Skyline Apartment,"A beautiful stay at Skyline Apartment located in Vancouver, Canada.",344,159,133,"Gym, Pet Friendly, Parking, Sauna, Pool"
Forest Lodge,Vancouver,Canada,Sunset Paradise,"A beautiful stay at Sunset Paradise located in Vancouver, Canada.",156,372,131,"Air Conditioning, Gym"
City Apartment,New York,USA,Forest Hideaway,"A beautiful stay at Forest Hideaway located in New York, USA.",381,127,93,"Pet Friendly, Gym, Breakfast"
Island Bungalow,Bali,Indonesia,Desert Oasis,"A beautiful stay at Desert Oasis located in Bali, Indonesia.",172,325,110,"Sauna, Pool, Gym, Pet Friendly, Air Conditioning"
Countryside Cottage,Bath,UK,Sunset Paradise,"A beautiful stay at Sunset Paradise located in Bath, UK.",657,446,16,"WiFi, Parking, Sauna, Pet Friendly, Breakfast"
City Apartment,New York,USA,Ocean Breeze,"A beautiful stay at Ocean Breeze located in New York, USA.",862,192,24,"Pet Friendly, WiFi, Gym"
Historic Mansion,Rome,Italy,Lakeside Retreat,"A beautiful stay at Lakeside Retreat located in Rome, Italy.",735,224,191,"Breakfast, WiFi, Air Conditioning, Pet Friendly"
City Apartment,New York,USA,Beachfront Bungalow,"A beautiful stay at Beachfront Bungalow located in New York, USA.",726,226,192,"Sauna, Pool, Parking, Gym, Pet Friendly"
Countryside Cottage,Bath,UK,Cozy Nest,"A beautiful stay at Cozy Nest located in Bath, UK.",892,219,151,"Breakfast, WiFi, Pool"
Island Bungalow,Bali,Indonesia,Skyline Apartment,"A beautiful stay at Skyline Apartment located in Bali, Indonesia.",686,95,146,"Air Conditioning, Sauna, Pet Friendly"
Forest Lodge,Vancouver,Canada,Garden View Villa,"A beautiful stay at Garden View Villa located in Vancouver, Canada.",363,470,92,"Parking, Air Conditioning"
Ski Chalet,Zermatt,Switzerland,Countryside Haven,"A beautiful stay at Countryside Haven located in Zermatt, Switzerland.",643,168,149,"Air Conditioning, Gym"
Beach House,Miami,USA,Beachfront Bungalow,"A beautiful stay at Beachfront Bungalow located in Miami, USA.",573,400,65,"Sauna, Gym, Pet Friendly"
Beach House,Miami,USA,Island Serenity,"A beautiful stay at Island Serenity located in Miami, USA.",750,335,143,"Parking, Gym, Pool, Breakfast, Pet Friendly"
Mountain Cabin,Aspen,USA,Riverfront Residence,"A beautiful stay at Riverfront Residence located in Aspen, USA.",444,385,38,"Pool, Parking, Pet Friendly, Air Conditioning, Breakfast"
Ski Chalet,Zermatt,Switzerland,Sunset Paradise,"A beautiful stay at Sunset Paradise located in Zermatt, Switzerland.",623,428,62,"Parking, Pool"
Countryside Cottage,Bath,UK,Sunset Paradise,"A beautiful stay at Sunset Paradise located in Bath, UK.",782,191,1,"WiFi, Air Conditioning"
Countryside Cottage,Bath,UK,Island Serenity,"A beautiful stay at Island Serenity located in Bath, UK.",260,286,114,"Gym, WiFi"
Forest Lodge,Vancouver,Canada,Island Serenity,"A beautiful stay at Island Serenity located in Vancouver, Canada.",846,287,151,"Breakfast, Sauna, WiFi, Air Conditioning"
City Apartment,New York,USA,Ocean Breeze,"A beautiful stay at Ocean Breeze located in New York, USA.",468,20,141,"WiFi, Sauna, Pool, Parking"
Historic Mansion,Rome,Italy,Riverfront Residence,"A beautiful stay at Riverfront Residence located in Rome, Italy.",534,420,182,"Pet Friendly, Parking, Breakfast, Pool"
Mountain Cabin,Aspen,USA,Garden View Villa,"A beautiful stay at Garden View Villa located in Aspen, USA.",223,477,40,"Sauna, WiFi, Pool, Gym"
Beach House,Miami,USA,City Lights Loft,"A beautiful stay at City Lights Loft located in Miami, USA.",410,107,153,"Pool, Breakfast, Pet Friendly, Gym"
Countryside Cottage,Bath,UK,Mountain Escape,"A beautiful stay at Mountain Escape located in Bath, UK.",197,438,59,"Pool, WiFi, Breakfast, Sauna"
Desert Retreat,Dubai,UAE,Garden View Villa,"A beautiful stay at Garden View Villa located in Dubai, UAE.",433,455,198,"Sauna, WiFi, Air Conditioning, Gym, Pool"
Countryside Cottage,Bath,UK,Sunset Paradise,"A beautiful stay at Sunset Paradise located in Bath, UK.",393,73,126,"Air Conditioning, Pool, Pet Friendly, Breakfast"
Tea Garden Cottage,Sylhet,Bangladesh,Mountain Escape,"A beautiful stay at Mountain Escape located in Sylhet, Bangladesh.",61,315,167,"WiFi, Parking, Sauna, Pet Friendly"
Historic Mansion,Rome,Italy,Luxury Penthouse,"A beautiful stay at Luxury Penthouse located in Rome, Italy.",398,207,0,"Breakfast, Pet Friendly, Gym, Sauna"
Countryside Cottage,Bath,UK,Historic Charm,"A beautiful stay at Historic Charm located in Bath, UK.",462,435,31,"Sauna, Pet Friendly, Pool"
Tea Garden Cottage,Sylhet,Bangladesh,Luxury Penthouse,"A beautiful stay at Luxury Penthouse located in Sylhet, Bangladesh.",395,400,155,"Air Conditioning, Gym, Pool, Parking, WiFi"
River View House,Dhaka,Bangladesh,Beachfront Bungalow,"A beautiful stay at Beachfront Bungalow located in Dhaka, Bangladesh.",76,141,86,"Pet Friendly, Breakfast, Gym, Air Conditioning"
Tea Garden Cottage,Sylhet,Bangladesh,Mountain Escape,"A beautiful stay at Mountain Escape located in Sylhet, Bangladesh.",515,274,40,"Parking, Gym, Air Conditioning"
